239,8.9
556,10.0
1198,9.42
2098,10.52
5087,7.05
5235,7.05
5407,14.45
5874,10.4
6047,7.71
8674,11.94
9175,8.4
9445,13.81
10615,13.4
11104,5.23
16868,13.39
17962,13.4
20422,13.59
20970,8.76
22322,13.26
22465,90.99
24849,8.16
25477,88.71
26138,87.02
26595,87.02
27556,87.6
28028,8.7
28719,85.94
30099,85.94
33606,91.2
34085,89.82
34090,8.7
37108,13.15
37331,11.12
49529,12.45
52457,11.45
52846,6.4
56489,13.03
58249,10.53
58611,14.82
59449,5.21
63828,6.84
68396,7.73
68552,7.32
69431,7.12
70298,5.06
70590,13.37
73691,10.56
74319,13.0
80629,7.45
82979,10.67
83782,11.92
84450,6.21
85004,5.45
85643,5.44
85788,14.06
87250,12.83
87886,86.72
89404,5.07
89619,7.32
92564,10.38
100069,9.25
101229,7.45
101438,6.63
105278,5.6
105429,7.54
109799,7.44
112380,94.78
112853,5.22
112989,12.81
113254,10.87
113521,14.65
113932,12.42
114514,7.32
116198,85.69
118196,5.29
121554,14.0
129522,5.29
131895,13.59
133237,87.15
135884,12.96
136055,86.5
137131,9.11
137870,9.49
140919,9.58
142844,9.73
144680,5.25
152324,12.24
152946,7.87
156058,10.15
156685,5.17
158437,11.18
158818,8.66
159353,5.71
159788,11.18
160040,5.17
165487,11.16
166025,6.35
170066,7.29
172254,5.4
173226,92.71
173666,10.26
174364,12.52
178572,8.51
181108,10.5
185781,9.28
186976,10.23
187066,11.57
187790,6.15
188062,7.95
189039,12.48
191336,8.01
192660,6.32
193795,11.37
195208,10.88
198160,88.55
199136,8.47
200957,9.16
202523,11.47
203210,6.39
205082,11.63
207746,11.79
208488,9.16
210343,6.08
210922,7.94
210938,91.11
211973,5.72
214740,9.9
218540,10.54
222525,9.16
222744,5.58
225881,5.48
227771,12.28
228873,13.82
233550,10.79
234894,5.87
237211,10.06
241080,10.71
244417,8.07
245749,10.07
245935,5.5
246382,5.9
248582,10.0
249304,9.21
249582,14.12
253596,5.72
253608,11.88
254224,10.96
254611,5.15
255716,6.42
256299,8.3
257716,12.12
258542,10.37
263275,10.34
265538,87.59
266155,91.13
267390,10.7
268072,9.47
268384,9.42
269517,10.62
271612,8.06
277610,6.32
279691,14.53
291124,7.03
293721,7.24
296057,13.02
298607,93.93
300274,5.01
300828,9.8
301051,8.21
301194,6.01
303430,11.08
304867,12.08
307562,6.4
307970,10.17
308785,8.6
311060,12.24
314702,8.08
316330,10.05
316986,6.13
318695,5.58
319184,13.51
321519,13.14
322145,5.38
322352,8.34
323063,9.3
324084,91.95
328145,92.15
328824,12.18
333583,13.98
333899,8.87
338010,91.28
339306,6.85
342024,5.25
344674,6.14
347748,5.69
349990,10.59
352445,6.87
353975,13.98
354373,14.48
357328,10.9
357946,11.32
358231,7.67
363109,5.55
365272,11.55
366885,7.14
368269,6.69
368562,5.08
373096,7.75
373878,12.61
376368,11.95
380541,12.4
382818,6.34
389314,8.42
392498,8.81
393422,90.81
394535,7.81
395096,10.88
395899,13.7
398006,6.7
399662,11.32
399866,6.64
400009,11.32
403849,14.35
404195,6.06
404885,14.35
406309,8.33
407275,8.05
410052,6.16
410547,5.62
410672,12.74
412774,5.82
413134,13.92
415412,5.65
416973,10.49
417688,5.73
418236,10.32
419897,10.35
421280,9.12
421584,5.57
423362,11.4
423740,13.52
423860,12.23
427658,5.86
434712,11.56
439049,7.5
440935,9.81
440941,13.99
441024,5.82
441450,5.82
445754,11.9
446041,11.0
447236,12.06
448487,12.82
449509,5.51
451262,6.6
451761,8.46
451778,5.59
451948,11.62
452366,92.86
452432,7.24
453050,5.77
453409,10.71
454742,12.76
454934,11.51
455548,11.47
457363,7.82
457574,10.91
457930,5.78
459699,7.55
460923,6.15
461806,10.73
464431,13.26
465224,5.44
468790,13.53
469693,7.43
469842,14.26
471103,8.51
471760,8.96
474282,5.82
474438,8.98
474702,5.25
475281,13.24
476481,9.69
476876,9.5
476893,13.07
477156,12.66
477645,6.51
478326,12.03
478610,10.53
479768,13.7
480689,9.0
483816,11.49
484465,8.55
491033,5.18
492084,89.95
492225,8.01
494777,7.96
494981,13.67
495991,10.76
496284,12.3
496427,8.02
496467,8.26
497422,7.04
497994,7.83
498532,6.82
498565,8.21
499781,9.46
